source_name,nb of posts fb,nb comments fb,nb posts insta,nb comments insta,nb posts tik,nb comm tik,nb of posts maps,nb comments maps,total posts,total comments
Signature,0,0,0,0,1,20,0,0,1,20
Balcon1,0,0,0,0,1,18,0,0,1,18
Chapati Team,0,0,0,0,1,18,0,0,1,18
Lestwins,0,0,1,18,0,0,0,0,1,18
Lucia Annaba,0,0,0,0,1,18,0,0,1,18
Meat N Chill,0,0,1,6,1,11,0,0,2,17
Baddi Pizza,0,0,0,0,1,17,0,0,1,17
Benko Games,0,0,0,0,1,17,0,0,1,17
Elbey Oran,0,0,0,0,1,17,0,0,1,17
Fidelia,0,0,0,0,1,17,0,0,1,17
Restaurantvillariviera,0,0,0,0,1,17,0,0,1,17
6Sens Pastry,0,0,1,16,0,0,0,0,1,16
Chiken Street Bbz,0,0,0,0,1,16,0,0,1,16
Easy Cheesy,0,0,0,0,1,16,0,0,1,16
Rombalfood,0,0,0,0,1,16,0,0,1,16
Anas Food,0,0,0,0,1,15,0,0,1,15
Benete Wahran,0,0,0,0,1,15,0,0,1,15
Ambassadeurs,0,0,0,0,1,14,0,0,1,14
Youzifood,0,0,0,0,1,14,0,0,1,14
Diyarbakir,0,0,1,10,1,3,0,0,2,13
Arabesque,0,0,1,13,0,0,0,0,1,13
Niwafood,0,0,1,13,0,0,0,0,1,13
Otsy Burger,0,0,0,0,1,13,0,0,1,13
Pizzapocket,0,0,1,13,0,0,0,0,1,13
Scenario,0,0,0,0,1,13,0,0,1,13
Torero Alger,0,0,0,0,1,13,0,0,1,13
Check In,0,0,0,0,1,12,0,0,1,12
Cottoncandyblanc,0,0,1,12,0,0,0,0,1,12
Iso Food,0,0,0,0,1,12,0,0,1,12
Ledouzebeo,0,0,0,0,1,12,0,0,1,12
Maisonsept Oran,0,0,0,0,1,12,0,0,1,12
Melonge,0,0,0,0,1,12,0,0,1,12
Nacer Fast Food,0,0,0,0,1,12,0,0,1,12
Piatto,0,0,0,0,1,12,0,0,1,12
Raclitta,0,0,0,0,1,12,0,0,1,12
Quesadillasbk,0,0,1,11,0,0,0,0,1,11
Bonsairestaurant,0,0,1,10,0,0,0,0,1,10
Chaway Zaimm,0,0,1,10,0,0,0,0,1,10
Mbfooddz,0,0,0,0,1,10,0,0,1,10
Skyistanbuldz,0,0,0,0,1,10,0,0,1,10
Tastino7,0,0,0,0,1,10,0,0,1,10
Turtles Snack,0,0,0,0,1,10,0,0,1,10
Za Eat,0,0,1,10,0,0,0,0,1,10
Magnolia,0,0,1,7,1,2,0,0,2,9
Bigmamaconstantine,0,0,0,0,1,9,0,0,1,9
Differencefood,0,0,0,0,1,9,0,0,1,9
