comment_id,platform,source_name,user_name,comment_text,date,likesCount,video_id,video_url,hashtag
7581503915842700044,tiktok,@le_dauphin_restaurant,bennycoulibaly2,Comment resservez s’il vous plaît ?,2026-01-02T18:00:53.697112,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7583247889943773970,tiktok,@le_dauphin_restaurant,yamcam16,c'est de la folie,2026-01-02T18:00:53.697115,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7586346436725523222,tiktok,@le_dauphin_restaurant,rose27,tro cher .c'est pour les riches. dz france,2026-01-02T18:00:53.697117,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7582604849810146071,tiktok,@le_dauphin_restaurant,t,3 million 3 adultes 2 enfants bourak rien a l’interieur soupe pas une soupe quand on lui a fait le reproche il a dis c pas une soupe il y a plus de soupe les restos d ouvrier sont 10x mieux,2026-01-02T18:00:53.697120,8,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7581661067484824327,tiktok,@le_dauphin_restaurant,Amanda,Une délégation de 130 personnes 😱😱😱 Waow vous avez assuré votre chiffre d'affaires de 6 mois 😉 Machallah 🙏,2026-01-02T18:00:53.697122,1,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7585929642881254166,tiktok,@le_dauphin_restaurant,sabrina.lgb0,Jet7 mdr,2026-01-02T18:00:53.697124,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7583232667723989781,tiktok,@le_dauphin_restaurant,Sydney,BRAVO 👏👏👏 LE DAUPHIN,2026-01-02T18:00:53.697127,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7581602383252308743,tiktok,@le_dauphin_restaurant,pdg real   souf,dauphin alger,2026-01-02T18:00:53.697129,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7585625060172366614,tiktok,@le_dauphin_restaurant,Torkia Soleil,bravo ça fait plaisir de voir des Algériens à réussir les Kabyles c'est des bosseurs bonne continuation👍,2026-01-02T18:00:53.697131,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7582312762820625153,tiktok,@le_dauphin_restaurant,Parisien🇲🇫🇩🇿🔥🛴🏍️,Franchement je suis déçu très très moyen et chère,2026-01-02T18:00:53.697133,1,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7581584171504616200,tiktok,@le_dauphin_restaurant,Must,@Must: Ce restaurant est trop trop trop cher je vous le déconseille vivement ! On était 6 personnes et ça nous a coûté plus de 8 millions de centimes !! C’est exagéré ! C’est le resto le dauphin de la pêcherie Alger .,2026-01-02T18:00:53.697135,1,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7588952718648902407,tiktok,@le_dauphin_restaurant,Sabrina Adour,Fière de toi mon cher frère Chef @hakim yanel @chef hakim,2026-01-02T18:00:53.697137,1,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7589752047197930258,tiktok,@le_dauphin_restaurant,kahla nabil,🥰🥰🥰,2026-01-02T18:00:53.697141,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7588327372374835990,tiktok,@le_dauphin_restaurant,malikarhm3,😂😂😂,2026-01-02T18:00:53.697143,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7588024823570531094,tiktok,@le_dauphin_restaurant,krema156,🥰,2026-01-02T18:00:53.697145,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7587192257842463495,tiktok,@le_dauphin_restaurant,KMR Immobilier,😁😁😁,2026-01-02T18:00:55.073777,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7586838971658797825,tiktok,@le_dauphin_restaurant,Ghiles Bnd,❤❤❤,2026-01-02T18:00:55.073796,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7586372877274006294,tiktok,@le_dauphin_restaurant,Azer Dggf,🥰🥰🥰,2026-01-02T18:00:55.073800,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7586343911774536470,tiktok,@le_dauphin_restaurant,user4613409821769,👍,2026-01-02T18:00:55.073804,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7586231140200317719,tiktok,@le_dauphin_restaurant,brikh.mohand,🥰🥰🥰,2026-01-02T18:00:55.073808,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7586069622177399574,tiktok,@le_dauphin_restaurant,MAN,😂😂😂😂,2026-01-02T18:00:55.073811,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
7586042812853699350,tiktok,@le_dauphin_restaurant,babou13,😂😂😂,2026-01-02T18:00:55.073814,0,7581502164351175958,https://www.tiktok.com/@le_dauphin_restaurant/video/7581502164351175958,direct_url
